date;country;visa_title;baden_man;baden_woman;bayern_man;bayern_woman;berlin_man;berlin_woman;brandenburg_man;brandenburg_woman;bremen_man;bremen_woman;hamburg_man;hamburg_woman;hessen_man;hessen_woman;mecklen_man;mecklen_woman;niedersachsen_man;niedersachsen_woman;nordrhein_man;nordrhein_woman;rheinland_man;rheinland_woman;saarland_man;saarland_woman;sachsen_man;sachsen_woman;sachsen_anhalt_man;sachsen_anhalt_woman;schleswig_man;schleswig_woman;thueringen_man;thueringen_woman
31.12.2005;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;50;34;15;22;1;-;3;3;-;-;6;8;24;20;1;1;263;162;24;23;3;7;-;-;6;3;16;15;-;-;4;5
31.12.2005;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;31;14;25;6;-;-;-;1;-;-;15;5;11;5;4;-;10;3;8;4;7;3;-;-;-;-;-;2;4;-;2;-
31.12.2005;China;Befr. AE.aus v�lkerr.,human.,pol.Gr�nden,AufenthG;1;1;9;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2005;China;Befr.Aufenthaltserlaubn. a.fam. Gr�nden, AufenthG;14;20;8;32;-;-;2;-;-;-;2;7;1;13;-;2;1;11;5;8;2;7;2;1;-;1;-;-;-;1;1;2
31.12.2005;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;3904;3663;3250;3154;2256;1983;538;367;638;536;1645;1340;2219;2321;272;178;2222;1889;6509;5685;1101;1151;342;259;1438;1163;864;715;618;398;471;449
31.12.2005;China;Antrag auf einen Aufenthaltstitel gestellt;69;55;72;54;-;1;14;3;14;8;6;8;120;102;-;2;37;27;160;141;17;15;5;1;27;13;4;4;3;6;15;8
31.12.2005;China;Duldung;597;268;390;252;51;30;77;72;50;16;34;15;181;112;2;2;127;51;850;387;155;65;105;45;125;51;121;62;1;2;59;33
31.12.2005;China;Aufenthaltsgestattung;36;29;67;58;12;8;9;9;11;4;9;8;15;30;1;-;14;9;94;45;14;6;5;2;34;18;2;8;-;-;20;15
31.12.2005;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;298;184;333;195;188;137;51;33;31;28;127;80;366;259;7;5;139;75;694;420;129;81;16;13;163;104;49;30;19;8;61;23
31.12.2006;China;Freiz�gigkeit nach EU-Recht;28;70;42;98;8;22;-;3;-;3;5;12;16;49;3;1;1;26;33;105;7;29;1;3;1;7;2;3;6;10;1;1
31.12.2006;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;2;1;1;2;2;2;-;-;-;-;-;-;1;-;-;-;-;-;9;3;-;1;-;-;-;-;-;-;1;-;-;-
31.12.2006;China;Unbefristeter Aufenthaltstitel;501;837;578;890;447;530;43;61;72;89;306;281;498;708;18;20;215;305;850;1030;143;240;52;56;72;75;17;32;90;147;16;35
31.12.2006;China;Befristeter Aufenthaltstitel;4075;3871;3529;3471;2286;2066;496;338;562;522;1660;1391;2218;2339;245;177;2391;2006;6965;6017;1077;1128;348;272;1485;1274;969;802;605;427;470;472
31.12.2006;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;2428;2228;1528;1503;508;486;280;177;346;326;372;395;887;872;132;111;1554;1218;3399;2975;379;476;112;97;1129;921;797;650;172;154;343;359
31.12.2006;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;912;352;893;330;318;123;78;24;80;26;445;144;559;323;52;6;326;87;1440;446;184;46;59;23;162;76;50;14;206;37;62;18
31.12.2006;China;Befr. AE.aus v�lkerr.,human.,pol.Gr�nden,AufenthG;51;40;146;90;12;16;2;4;15;1;12;8;60;36;-;-;22;21;131;76;25;16;8;9;8;6;5;5;1;3;11;5
31.12.2006;China;Befr.Aufenthaltserlaubn. a.fam. Gr�nden, AufenthG;314;905;304;867;78;228;31;64;29;88;125;390;271;724;13;41;101;357;453;1258;76;213;36;74;42;184;18;68;37;129;19;58
31.12.2006;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;370;346;658;681;1370;1213;105;69;92;81;706;454;441;384;48;19;388;323;1542;1262;413;377;133;69;144;87;99;65;189;104;35;32
31.12.2006;China;Antrag auf einen Aufenthaltstitel gestellt;101;70;97;86;3;5;13;4;28;18;13;4;122;116;-;1;70;52;268;204;26;22;6;4;41;25;11;10;15;12;19;14
31.12.2006;China;Duldung;539;263;368;234;60;32;78;57;45;19;33;18;173;113;2;1;126;47;794;387;159;74;93;34;134;65;99;53;3;-;85;48
31.12.2006;China;Aufenthaltsgestattung;20;17;44;35;11;10;21;6;3;4;11;5;11;13;1;-;6;3;48;24;13;3;5;4;13;6;11;4;-;-;12;6
31.12.2006;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;279;167;320;222;167;124;46;36;30;16;159;94;306;239;9;3;116;62;570;296;61;46;25;11;157;98;34;26;20;28;31;20
31.12.2007;China;Freiz�gigkeit nach EU-Recht;31;80;48;113;11;20;1;3;1;3;6;16;19;66;3;1;-;26;33;117;6;28;1;4;1;7;2;6;6;10;2;2
31.12.2007;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;1;-;1;3;3;2;-;-;-;-;-;-;1;1;-;-;-;-;2;2;-;1;-;-;-;-;-;-;-;-;-;-
31.12.2007;China;Unbefristeter Aufenthaltstitel;549;928;611;1029;450;562;45;69;76;100;310;315;540;799;21;27;220;358;928;1187;132;267;49;60;74;84;24;42;101;176;18;37
31.12.2007;China;Befristeter Aufenthaltstitel;4166;4005;3779;3783;2365;2191;454;313;514;461;1695;1429;2299;2495;215;164;2358;2033;7234;6350;1047;1127;358;277;1511;1291;926;812;669;445;474;464
31.12.2007;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;2402;2266;1663;1680;1048;997;246;162;310;280;464;482;908;910;107;97;1584;1268;3508;3245;556;636;134;105;1150;933;773;658;253;190;342;344
31.12.2007;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;1098;453;1143;501;539;219;97;20;101;37;532;184;745;440;65;12;473;154;1972;647;279;97;64;28;193;84;64;18;262;46;73;27
